time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,characteristics_group,characteristic,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Gender,Boys,3833,310628,13651766.76,43.9,296228,95.4,133416,43,193894,62.4,108429,34.9,42527,13.7,62244,20,1200202.73,3.86,290178,-48595.691,-0.17,-0.17,-0.16
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Gender,Girls,3794,296319,14380974.2,48.5,287287,97,140010,47.2,199609,67.4,129886,43.8,59978,20.2,83950,28.3,1256190.89,4.24,278376,33493.85,0.12,0.12,0.13
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Asian - Any other Asian background,2398,12152,658981.02,54.2,11737,96.6,7574,62.3,9346,76.9,6451,53.1,3455,28.4,4473,36.8,59803.46,4.92,10276,7065.132,0.69,0.66,0.71
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Asian - Bangladeshi,1503,10983,569194.75,51.8,10703,97.5,6249,56.9,8175,74.4,5956,54.2,2528,23,3547,32.3,50650.4,4.61,10200,5062.072,0.5,0.47,0.52
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Asian - Chinese,1496,3384,221335.51,65.4,3329,98.4,2648,78.3,2992,88.4,2171,64.2,1578,46.6,1837,54.3,20934.78,6.19,2134,2287.386,1.07,1.01,1.13
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Asian - Indian,2256,19607,1161890.59,59.3,19291,98.4,13744,70.1,16330,83.3,11646,59.4,6931,35.3,8641,44.1,106201.39,5.42,16863,13794.832,0.82,0.8,0.84
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Asian - Pakistani,1938,27245,1278255.4,46.9,26512,97.3,12482,45.8,17866,65.6,12546,46,4447,16.3,6654,24.4,112214.77,4.12,24985,6074.89,0.24,0.23,0.26
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Asian - Total,3228,73371,3889657.27,53,71572,97.5,42697,58.2,54709,74.6,38770,52.8,18939,25.8,25152,34.3,349804.8,4.77,64458,34284.312,0.53,0.52,0.54
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Black - Any other black background,1650,4863,214869.25,44.2,4647,95.6,1921,39.5,2872,59.1,2136,43.9,747,15.4,1119,23,18899.22,3.89,4255,382.997,0.09,0.05,0.13
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Black - Black African,2582,26335,1279771.5,48.6,25569,97.1,13156,50,18226,69.2,12985,49.3,4829,18.3,7180,27.3,113625.09,4.31,22340,8290.69,0.37,0.35,0.39
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Black - Caribbean,1494,6788,270846.38,39.9,6563,96.7,2104,31,3512,51.7,2656,39.1,626,9.2,1077,15.9,23193.87,3.42,6377,-1536.089,-0.24,-0.28,-0.21
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Black - Total,2878,37986,1765487.13,46.5,36779,96.8,17181,45.2,24610,64.8,17777,46.8,6202,16.3,9376,24.7,155718.18,4.1,32972,7137.598,0.22,0.2,0.23
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Mixed - Any other mixed background,3018,13581,662019.38,48.7,13070,96.2,6685,49.2,9230,68,6357,46.8,2939,21.6,4057,29.9,59172.69,4.36,12136,1320.706,0.11,0.08,0.13
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Mixed - Total,3591,36725,1712788.14,46.6,35266,96,16652,45.3,23741,64.6,15447,42.1,6740,18.4,9462,25.8,151035.69,4.11,33928,-1459.98,-0.04,-0.06,-0.03
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Mixed - White and Asian,2737,8787,453460.26,51.6,8527,97,4917,56,6482,73.8,4104,46.7,2103,23.9,2812,32,40459.75,4.6,8155,1467.168,0.18,0.15,0.21
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Mixed - White and Black African,2200,5074,235053,46.3,4876,96.1,2237,44.1,3287,64.8,2180,43,871,17.2,1260,24.8,20734.21,4.09,4657,-89.558,-0.02,-0.06,0.02
202223,Academic year,National,E92000001,England,Provisional,All state-funded,Ethnicity,Mixed - White and Black Caribbean,2562,9283,362255.5,39,8793,94.7,2813,30.3,4742,51.1,2806,30.2,827,8.9,1333,14.4,30669.04,3.3,8980,-4158.296,-0.46,-0.49,-0.43
