time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,breakdown,gender,prior_attainment,admission_type,religious_denomination,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp,t_p8eng,avg_p8eng,p8eng_ci_low,p8eng_ci_upp,t_p8mat,avg_p8mat,p8mat_ci_low,p8mat_ci_upp,t_p8ebac,avg_p8ebac,p8ebac_ci_low,p8ebac_ci_upp,t_p8open,avg_p8open,p8open_ci_low,p8open_ci_upp,t_entry_1,pt_entry_1,t_anypass,pt_anypass,t_ebaceng_e,pt_ebaceng_e,t_ebacmat_e,pt_ebacmat_e,t_ebac2sci_e,pt_ebac2sci_e,t_ebachum_e,pt_ebachum_e,t_ebaclan_e,pt_ebaclan_e,t_ebaceng_95,pt_ebaceng_95,t_ebacmat_95,pt_ebacmat_95,t_ebac2sci_95,pt_ebac2sci_95,t_ebachum_95,pt_ebachum_95,t_ebaclan_95,pt_ebaclan_95,t_ebaceng_94,pt_ebaceng_94,t_ebacmat_94,pt_ebacmat_94,t_ebac2sci_94,pt_ebac2sci_94,t_ebachum_94,pt_ebachum_94,t_ebaclan_94,pt_ebaclan_94,t_ebptseng_ll,avg_ebptseng_ll,t_ebptsmat,avg_ebptsmat,t_ebptssci,avg_ebptssci,t_ebptshum,avg_ebptshum,t_ebptslan,avg_ebptslan,t_att8_eng,avg_att8_eng,t_att8_mat,avg_att8_mat,t_att8_ebac,avg_att8_ebac,t_att8_open,avg_att8_open,t_att8_open_g,avg_att8_open_g,t_att8_open_ng,avg_att8_open_ng,t_ebac_fill,avg_ebac_fill,t_open_fill,avg_open_fill,t_ebaccsubjent_0,pt_ebaccsubjent_0,t_ebaccsubjent_1,pt_ebaccsubjent_1,t_ebaccsubjent_2,pt_ebaccsubjent_2,t_ebaccsubjent_3,pt_ebaccsubjent_3,t_ebaccsubjent_4,pt_ebaccsubjent_4,t_ent_comb_sci,pt_ent_comb_sci,t_eballsci_ptq_ee,pt_eballsci_ptq_ee,t_triplesci_e,pt_triplesci_e,t_ent_hist_geog,pt_ent_hist_geog,t_multilan_e,pt_multilan_e,t_entered_art,pt_entered_art,t_entered_music_qual,pt_entered_music_qual,t_entered_arts_qual,pt_entered_arts_qual
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Prior attainment,Boys,High prior,Total,Total,2435,51789,3374433.04,65.2,51558,99.6,44660,86.2,49048,94.7,31144,60.1,20449,39.5,25432,49.1,309938.51,5.98,51789,-4479.19,-0.09,-0.1,-0.07,-14546.48,-0.28,-0.29,-0.27,8382.175,0.16,0.15,0.17,-1306.717,-0.03,-0.04,-0.01,-12576.814,-0.24,-0.26,-0.23,51652,99.7,51634,99.7,51303,99.1,51587,99.6,51339,99.1,46681,90.1,33790,65.2,46333,89.5,47580,91.9,44642,87,38890,83.3,23740,70.3,49302,95.2,50542,97.6,49006,95.5,42266,90.5,28338,83.9,333832,6.45,355078.63,6.86,343033.2,6.62,294902,5.69,189761.89,3.66,668648,12.9,710157.26,13.7,1029354.15,19.9,966273.63,18.7,863057.88,16.7,103215.75,2,153313,3,153032,3,172,0.3,126,0.2,183,0.4,2168,4.2,17996,34.7,20064,38.7,31276,60.4,31217,60.3,7231,14,2620,5.1,13198,25.5,4669,9,17316,33.4
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Prior attainment,Boys,Low prior,Total,Total,2365,51631,1382879.5,26.8,49321,95.5,3173,6.1,11213,21.7,7324,14.2,321,0.6,970,1.9,112495.62,2.18,51631,-5018.902,-0.1,-0.11,-0.09,-11182.26,-0.22,-0.23,-0.2,5691.24,0.11,0.1,0.12,-1366.045,-0.03,-0.04,-0.01,-11725.541,-0.23,-0.24,-0.21,50146,97.1,49432,95.7,47585,92.2,49573,96,47950,92.9,38803,75.2,8842,17.1,9143,17.7,5366,10.4,3731,7.8,3790,9.8,2074,23.5,18860,36.5,15279,29.6,10224,21.3,7699,19.8,2951,33.4,153569,2.97,134547,2.61,133284.5,2.58,91261,1.77,29021,0.56,309945,6,269094,5.2,376478,7.3,427362.5,8.3,281081,5.4,146281.5,2.8,129675,2.5,131620,2.5,1849,3.6,1081,2.1,1453,2.8,7550,14.6,32374,62.7,45467,88.1,2490,4.8,2463,4.8,3621,7,495,1,17413,33.7,3226,6.2,24433,47.3
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Prior attainment,Boys,Mid prior,Total,Total,2446,120435,5454695.9,45.3,119054,98.9,52720,43.8,85868,71.3,44006,36.5,11323,9.4,20766,17.2,475201.62,3.95,120435,-17114.499,-0.14,-0.15,-0.13,-36411.14,-0.3,-0.31,-0.29,14048.655,0.12,0.11,0.13,-6186.769,-0.05,-0.06,-0.04,-37941.657,-0.32,-0.32,-0.31,119545,99.3,119306,99.1,117493,97.6,119232,99,117651,97.7,104921,87.1,48245,40.1,70070,58.2,65865,54.7,52557,44.7,46642,44.5,17871,37,93289,77.5,97212,80.7,81977,69.7,63941,60.9,26621,55.2,568979,4.72,568231,4.72,539841.07,4.48,440411,3.66,193905.13,1.61,1141517,9.5,1136462,9.4,1590289.26,13.2,1586427.64,13.2,1213851.89,10.1,372575.75,3.1,344038,2.9,344402,2.9,1113,0.9,946,0.8,1097,0.9,8720,7.2,64553,53.6,91185,75.7,26483,22,26366,21.9,12610,10.5,2070,1.7,33929,28.2,8205,6.8,48951,40.6
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Total,Boys,Total,Total,Total,2450,238905,10830912.09,45.3,234047,98,106075,44.4,153959,64.4,88017,36.8,34296,14.4,50224,21,954163.22,3.99,223855,-26612.591,-0.12,-0.12,-0.11,-62139.88,-0.28,-0.28,-0.27,28122.07,0.13,0.12,0.13,-8859.531,-0.04,-0.05,-0.03,-62244.012,-0.28,-0.28,-0.27,235848,98.7,234643,98.2,229745,96.2,234746,98.3,230994,96.7,201139,84.2,98126,41.1,132181,55.3,125784,52.7,107073,46.4,93993,46.7,48876,49.8,170055,71.2,172269,72.1,149319,64.6,119864,59.6,63733,65,1116067,4.67,1122625.13,4.7,1078946.77,4.52,871031,3.65,457359.65,1.91,2241124,9.4,2245250.26,9.4,3192804.66,13.4,3151733.17,13.2,2500399.42,10.5,651333.75,2.7,666329,2.8,667135,2.8,3754,1.6,2390,1,3179,1.3,20343,8.5,121222,50.7,167062,69.9,63964,26.8,63745,26.7,24890,10.4,6435,2.7,69226,29,17217,7.2,96840,40.5
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Prior attainment,Girls,High prior,Total,Total,2457,54628,3692408.31,67.6,54321,99.4,48170,88.2,52594,96.3,36089,66.1,27301,50,31976,58.5,339932.82,6.22,54628,8573.805,0.16,0.15,0.17,16419.89,0.3,0.29,0.31,-6351.45,-0.12,-0.13,-0.1,3922.22,0.07,0.06,0.09,14579.436,0.27,0.25,0.28,54436,99.6,54419,99.6,54032,98.9,54355,99.5,53931,98.7,49054,89.8,39558,72.4,51624,94.5,49122,89.9,47221,87.6,43003,87.7,31947,80.8,53178,97.3,53133,97.3,51693,95.9,45765,93.3,35891,90.7,383768,7.03,359372.38,6.58,360180.58,6.59,330341,6.05,245759.75,4.5,768930,14.1,718748.76,13.2,1101793.5,20.2,1102936.05,20.2,991930.55,18.2,111005.5,2,161208,3,161246,3,242,0.4,181,0.3,243,0.4,1674,3.1,16199,29.7,22994,42.1,30942,56.6,30925,56.6,5250,9.6,3252,6,27569,50.5,4851,8.9,30687,56.2
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Prior attainment,Girls,Low prior,Total,Total,2403,43804,1284311.25,29.3,41928,95.7,2714,6.2,9357,21.4,8790,20.1,507,1.2,1493,3.4,101480.35,2.32,43804,4668.299,0.11,0.09,0.12,10711.2,0.24,0.23,0.26,-6051.94,-0.14,-0.15,-0.12,912.103,0.02,0.01,0.04,11523.954,0.26,0.25,0.28,42687,97.5,42257,96.5,40742,93,42102,96.1,40843,93.2,32856,75,11050,25.2,12288,28.1,3377,7.7,2917,7.1,3659,11.1,2905,26.3,21917,50,10497,24,8145,19.9,7162,21.8,4391,39.7,152677,3.49,105788,2.42,114035,2.6,82684,1.89,39657,0.91,307891,7,211576,4.8,331778,7.6,433066.25,9.9,297955,6.8,135111.25,3.1,112751,2.6,115632,2.6,1466,3.3,821,1.9,1173,2.7,5740,13.1,25814,58.9,38759,88.5,2087,4.8,2079,4.7,1720,3.9,751,1.7,21806,49.8,2194,5,25626,58.5
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Prior attainment,Girls,Mid prior,Total,Total,2476,119824,5788907.89,48.3,118230,98.7,54387,45.4,88124,73.5,53548,44.7,17714,14.8,30462,25.4,498648.21,4.16,119824,18202.016,0.15,0.14,0.16,36759.64,0.31,0.3,0.32,-14119.815,-0.12,-0.13,-0.11,6068.205,0.05,0.04,0.06,37419.019,0.31,0.3,0.32,118796,99.1,118593,99,116888,97.5,118400,98.8,116706,97.4,103399,86.3,60287,50.3,86499,72.2,58862,49.1,52736,45.2,51700,50,29161,48.4,103780,86.6,91843,76.6,81224,69.6,67751,65.5,40383,67,639744,5.34,538296,4.49,537259.26,4.48,467187,3.9,272150,2.27,1283544,10.7,1076592,9,1622217,13.5,1806554.89,15.1,1416871.14,11.8,389683.75,3.3,342554,2.9,344561,2.9,1305,1.1,842,0.7,1220,1,6978,5.8,55931,46.7,92357,77.1,24369,20.3,24337,20.3,7244,6,3090,2.6,59189,49.4,7293,6.1,68795,57.4
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Total,Girls,Total,Total,Total,2481,231994,11410968.33,49.2,227635,98.1,111283,48,158307,68.2,104677,45.1,48380,20.9,67766,29.2,998542.8,4.3,218256,31444.12,0.14,0.14,0.15,63890.73,0.29,0.29,0.3,-26523.205,-0.12,-0.13,-0.12,10902.528,0.05,0.04,0.06,63522.409,0.29,0.28,0.3,229351,98.9,228582,98.5,224230,96.7,228148,98.3,224537,96.8,195432,84.2,119047,51.3,158509,68.3,118016,50.9,109182,48.6,103521,53,70337,59.1,188662,81.3,164263,70.8,149287,66.5,126967,65,87614,73.6,1242299,5.35,1064111.13,4.59,1073295.84,4.63,927406,4,610853.75,2.63,2494260,10.8,2128226.26,9.2,3255871.5,14,3532610.57,15.2,2869346.57,12.4,663264,2.9,653893,2.8,658278,2.8,3397,1.5,1998,0.9,2983,1.3,15711,6.8,103228,44.5,163691,70.6,60879,26.2,60817,26.2,15143,6.5,8740,3.8,115477,49.8,15473,6.7,133029,57.3
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Prior attainment,Total,High prior,Total,Total,2592,106417,7066841.35,66.4,105879,99.5,92830,87.2,101642,95.5,67233,63.2,47750,44.9,57408,53.9,649871.33,6.11,106417,4094.615,0.04,0.03,0.05,1873.41,0.02,0.01,0.03,2030.725,0.02,0.01,0.03,2615.503,0.02,0.01,0.03,2002.622,0.02,0.01,0.03,106088,99.7,106053,99.7,105335,99,105942,99.6,105270,98.9,95735,90,73348,68.9,97957,92.1,96702,90.9,91863,87.3,81893,85.5,55687,75.9,102480,96.3,103675,97.4,100699,95.7,88031,92,64229,87.6,717600,6.74,714451.01,6.71,703213.78,6.61,625243,5.88,435521.64,4.09,1437578,13.5,1428906.02,13.4,2131147.65,20,2069209.68,19.4,1854988.43,17.4,214221.25,2,314521,3,314278,3,414,0.4,307,0.3,426,0.4,3842,3.6,34195,32.1,43058,40.5,62218,58.5,62142,58.4,12481,11.7,5872,5.5,40767,38.3,9520,8.9,48003,45.1
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Prior attainment,Total,Low prior,Total,Total,2486,95435,2667190.75,27.9,91249,95.6,5887,6.2,20570,21.6,16114,16.9,828,0.9,2463,2.6,213975.97,2.24,95435,-350.603,0,-0.01,0.01,-471.06,0,-0.02,0.01,-360.7,0,-0.01,0.01,-453.942,0,-0.02,0.01,-201.587,0,-0.01,0.01,92833,97.3,91689,96.1,88327,92.6,91675,96.1,88793,93,71659,75.1,19892,20.8,21431,22.5,8743,9.2,6648,7.5,7449,10.4,4979,25,40777,42.7,25776,27,18369,20.7,14861,20.7,7342,36.9,306246,3.21,240335,2.52,247319.5,2.59,173945,1.82,68678,0.72,617836,6.5,480670,5,708256,7.4,860428.75,9,579036,6.1,281392.75,2.9,242426,2.5,247252,2.6,3315,3.5,1902,2,2626,2.8,13290,13.9,58188,61,84226,88.3,4577,4.8,4542,4.8,5341,5.6,1246,1.3,39219,41.1,5420,5.7,50059,52.5
