time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,idaci_decile,ru11ind_pupil_residency,pupil_residency_detail,level_methodology,establishment_type,version,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,,,0-10%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,284,1518,57005.25,37.6,1418,93.4,434,28.6,712,46.9,353,23.3,4778.91,3.15,113,7.4,185,12.2,1468,-895.784,-0.61,-0.68,-0.54
202223,Academic year,National,E92000001,England,,,0-10%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,3111,71912,2738469.88,38.1,67586,94,21300,29.6,35254,49,22513,31.3,233273.58,3.24,6570,9.1,10602,14.7,67708,-30964.127,-0.46,-0.47,-0.45
202223,Academic year,National,E92000001,England,,,0-10%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,3074,70394,2681464.63,38.1,66168,94,20866,29.6,34542,49.1,22160,31.5,228494.67,3.25,6457,9.2,10417,14.8,66240,-30068.343,-0.45,-0.46,-0.44
202223,Academic year,National,E92000001,England,,,10-20%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,464,2576,102164,39.7,2455,95.3,817,31.7,1390,54,670,26,8610.49,3.34,218,8.5,350,13.6,2491,-924.928,-0.37,-0.43,-0.32
202223,Academic year,National,E92000001,England,,,10-20%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,3532,67883,2809252.76,41.4,64641,95.2,24277,35.8,37633,55.4,24470,36,242706.14,3.58,8076,11.9,12533,18.5,63660,-14983.927,-0.24,-0.25,-0.22
202223,Academic year,National,E92000001,England,,,10-20%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,3469,65307,2707088.76,41.5,62186,95.2,23460,35.9,36243,55.5,23800,36.4,234095.65,3.58,7858,12,12183,18.7,61169,-14058.999,-0.23,-0.24,-0.22
202223,Academic year,National,E92000001,England,,,20-30%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,776,4302,178752.75,41.6,4118,95.7,1483,34.5,2433,56.6,1238,28.8,15240.7,3.54,431,10,681,15.8,4187,-1148.171,-0.27,-0.32,-0.23
202223,Academic year,National,E92000001,England,,,20-30%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,3663,62035,2673755.53,43.1,59323,95.6,23996,38.7,36405,58.7,22933,37,232239.44,3.74,8418,13.6,12459,20.1,58071,-8279.584,-0.14,-0.15,-0.13
202223,Academic year,National,E92000001,England,,,20-30%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,3543,57733,2495002.78,43.2,55205,95.6,22513,39,33972,58.8,21695,37.6,216998.74,3.76,7987,13.8,11778,20.4,53884,-7131.413,-0.13,-0.14,-0.12
202223,Academic year,National,E92000001,England,,,30-40%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,1044,6457,275953.88,42.7,6212,96.2,2383,36.9,3805,58.9,1867,28.9,23598.35,3.65,733,11.4,1099,17,6235,-1461.666,-0.23,-0.27,-0.2
202223,Academic year,National,E92000001,England,,,30-40%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,3708,58724,2620672.04,44.6,56387,96,24494,41.7,36366,61.9,22039,37.5,228290.38,3.89,8757,14.9,12813,21.8,55208,-4745.21,-0.09,-0.1,-0.07
202223,Academic year,National,E92000001,England,,,30-40%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,3569,52267,2344718.16,44.9,50175,96,22111,42.3,32561,62.3,20172,38.6,204692.03,3.92,8024,15.4,11714,22.4,48973,-3283.544,-0.07,-0.08,-0.05
202223,Academic year,National,E92000001,England,,,40-50%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,1251,8468,373602.75,44.1,8175,96.5,3414,40.3,5271,62.2,2742,32.4,32302.45,3.81,1077,12.7,1616,19.1,8184,-1039.754,-0.13,-0.16,-0.1
202223,Academic year,National,E92000001,England,,,40-50%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,3669,55364,2559723.03,46.2,53396,96.4,24790,44.8,35951,64.9,21578,39,224113.3,4.05,8990,16.2,13002,23.5,52135,-766.369,-0.01,-0.03,0
202223,Academic year,National,E92000001,England,,,40-50%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,3506,46896,2186120.28,46.6,45221,96.4,21376,45.6,30680,65.4,18836,40.2,191810.85,4.09,7913,16.9,11386,24.3,43951,273.385,0.01,-0.01,0.02
202223,Academic year,National,E92000001,England,,,50-60%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,1494,12352,573302.76,46.4,11943,96.7,5589,45.2,8211,66.5,4333,35.1,49887.24,4.04,1900,15.4,2755,22.3,11873,-147.06,-0.01,-0.04,0.01
202223,Academic year,National,E92000001,England,,,50-60%,Total,Total,Pupil residency,State-funded schools (LA),Provisional,3587,52900,2524741.94,47.7,51203,96.8,25290,47.8,36211,68.5,21242,40.2,221763.67,4.19,9527,18,13502,25.5,49973,1954.703,0.04,0.03,0.05
202223,Academic year,National,E92000001,England,,,50-60%,Urban,Total,Pupil residency,State-funded schools (LA),Provisional,3341,40548,1951439.18,48.1,39260,96.8,19701,48.6,28000,69.1,16909,41.7,171876.43,4.24,7627,18.8,10747,26.5,38100,2101.763,0.06,0.04,0.07
202223,Academic year,National,E92000001,England,,,60-70%,Rural,Total,Pupil residency,State-funded schools (LA),Provisional,1627,14125,675164.75,47.8,13715,97.1,6712,47.5,9796,69.4,4997,35.4,58869.37,4.17,2270,16.1,3211,22.7,13552,504.804,0.04,0.01,0.06
