time_period,time_identifier,geographic_level,country_code,country_name,pcon_code,pcon_name,version,level_methodology,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,,,Provisional,School location,State-funded schools (LA),4046,603642,27966700.08,46.3,581015,96.3,273211,45.3,393018,65.1,237770,39.4,2450084.28,4.06,102477,17,146109,24.2,568548,-15092.343,-0.03,-0.03,-0.02
202223,Academic year,Parliamentary constituency,E92000001,England,E14000530,Aldershot,Provisional,School location,State-funded schools (LA),6,712,29124,40.9,675,94.8,255,35.8,402,56.5,208,29.2,2602.34,3.65,107,15,141,19.8,671,-420.285,-0.63,-0.73,-0.52
202223,Academic year,Parliamentary constituency,E92000001,England,E14000531,Aldridge-Brownhills,Provisional,School location,State-funded schools (LA),7,1296,54876.5,42.3,1253,96.7,457,35.3,752,58,484,37.3,4621.43,3.57,111,8.6,193,14.9,1268,-456.164,-0.36,-0.44,-0.28
202223,Academic year,Parliamentary constituency,E92000001,England,E14000532,Altrincham and Sale West,Provisional,School location,State-funded schools (LA),10,1838,109355.47,59.5,1804,98.2,1239,67.4,1524,82.9,963,52.4,9905.33,5.39,618,33.6,774,42.1,1658,663.409,0.4,0.33,0.47
202223,Academic year,Parliamentary constituency,E92000001,England,E14000533,Amber Valley,Provisional,School location,State-funded schools (LA),9,970,42145.25,43.4,932,96.1,372,38.4,582,60,380,39.2,3687.63,3.8,149,15.4,209,21.5,953,-140.017,-0.15,-0.24,-0.06
202223,Academic year,Parliamentary constituency,E92000001,England,E14000534,Arundel and South Downs,Provisional,School location,State-funded schools (LA),5,1120,53598.75,47.9,1095,97.8,521,46.5,759,67.8,385,34.4,4629.97,4.13,171,15.3,255,22.8,1075,92.649,0.09,0,0.17
202223,Academic year,Parliamentary constituency,E92000001,England,E14000535,Ashfield,Provisional,School location,State-funded schools (LA),8,1185,49814.25,42,1145,96.6,421,35.5,675,57,550,46.4,4344.58,3.67,134,11.3,227,19.2,1162,-318.754,-0.27,-0.36,-0.19
202223,Academic year,Parliamentary constituency,E92000001,England,E14000536,Ashford,Provisional,School location,State-funded schools (LA),9,1507,68966.5,45.8,1446,96,661,43.9,966,64.1,677,44.9,6124.39,4.06,320,21.2,458,30.4,1413,-112.315,-0.08,-0.15,-0.01
202223,Academic year,Parliamentary constituency,E92000001,England,E14000537,Ashton-under-Lyne,Provisional,School location,State-funded schools (LA),7,1264,57554.25,45.5,1206,95.4,571,45.2,815,64.5,530,41.9,5022.68,3.97,190,15,297,23.5,1215,32.71,0.03,-0.05,0.11
202223,Academic year,Parliamentary constituency,E92000001,England,E14000538,Aylesbury,Provisional,School location,State-funded schools (LA),11,1492,77976.5,52.3,1421,95.2,817,54.8,1049,70.3,478,32,6688.68,4.48,317,21.2,387,25.9,1413,100.092,0.07,0,0.14
