time_period,time_identifier,version,geographic_level,country_code,country_name,establishment_type,subject,qualification_type,grade,number_achieving,percentage_achieving
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Animal Care,Vocational,Achieving level 1 pass,2,100
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Animal Care,Vocational,Achieving level 2 pass,2,100
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Animal Care,Vocational,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Subject,Vocational,Achieving level 1 pass,355,73
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Subject,Vocational,Achieving level 2 pass,182,38
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Subject,Vocational,Total pupil entries,483,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art & Design,Vocational,Achieving level 1 pass,15,88
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art & Design,Vocational,Achieving level 2 pass,12,71
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art & Design,Vocational,Total pupil entries,17,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,Vocational,Achieving level 1 pass,27,73
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,Vocational,Achieving level 2 pass,12,32
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,Vocational,Total pupil entries,37,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Childcare,Vocational,Achieving level 1 pass,29,66
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Childcare,Vocational,Achieving level 2 pass,11,25
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Childcare,Vocational,Total pupil entries,44,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Construction,Vocational,Achieving level 1 pass,15,47
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Construction,Vocational,Achieving level 2 pass,1,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Construction,Vocational,Total pupil entries,32,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Dance,Vocational,Achieving level 1 pass,1,100
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Dance,Vocational,Achieving level 2 pass,1,100
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Dance,Vocational,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Engineering,Vocational,Achieving level 1 pass,2,25
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Engineering,Vocational,Achieving level 2 pass,0,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Engineering,Vocational,Total pupil entries,8,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Health,Vocational,Achieving level 1 pass,34,92
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Health,Vocational,Achieving level 2 pass,13,35
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Health,Vocational,Total pupil entries,37,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Hospitality and Catering,Vocational,Achieving level 1 pass,61,59
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Hospitality and Catering,Vocational,Achieving level 2 pass,28,27
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Hospitality and Catering,Vocational,Total pupil entries,103,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Information and Communication Technology,Vocational,Achieving level 1 pass,2,50
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Information and Communication Technology,Vocational,Achieving level 2 pass,0,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Information and Communication Technology,Vocational,Total pupil entries,4,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Multimedia,Vocational,Achieving level 1 pass,21,88
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Multimedia,Vocational,Achieving level 2 pass,5,21
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Multimedia,Vocational,Total pupil entries,24,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Music,Vocational,Achieving level 1 pass,41,73
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Music,Vocational,Achieving level 2 pass,33,59
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Music,Vocational,Total pupil entries,56,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Speech & Drama,Vocational,Achieving level 1 pass,10,77
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Speech & Drama,Vocational,Achieving level 2 pass,3,23
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Speech & Drama,Vocational,Total pupil entries,13,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Sports,Vocational,Achieving level 1 pass,134,82
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Sports,Vocational,Achieving level 2 pass,80,49
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Sports,Vocational,Total pupil entries,163,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Tourism,Vocational,Achieving level 1 pass,17,85
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Tourism,Vocational,Achieving level 2 pass,10,50
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Tourism,Vocational,Total pupil entries,20,z
