time_period,time_identifier,version,geographic_level,country_code,country_name,gender,establishment_type,admission_type,religious_denomination,subject,qualification_type,grade,number_achieving,percentage_achieving
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any Science,AS level and FSMQ,Total pupil entries,10,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any Science,AS level and FSMQ,Total pupil entries,9,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any Science,AS level and FSMQ,Total pupil entries,19,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any Science,AS level and FSMQ,a to b,4,40
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any Science,AS level and FSMQ,a to b,7,78
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any Science,AS level and FSMQ,a to b,11,58
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any Science,AS level and FSMQ,a to e,9,90
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any Science,AS level and FSMQ,a to e,8,89
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any Science,AS level and FSMQ,a to e,17,89
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any Subject,AS level and FSMQ,Total pupil entries,3674,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any Subject,AS level and FSMQ,Total pupil entries,2224,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any Subject,AS level and FSMQ,Total pupil entries,5898,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any Subject,AS level and FSMQ,a to b,2419,66
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any Subject,AS level and FSMQ,a to b,1344,60
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any Subject,AS level and FSMQ,a to b,3763,64
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any Subject,AS level and FSMQ,a to e,3239,88
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any Subject,AS level and FSMQ,a to e,1936,87
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any Subject,AS level and FSMQ,a to e,5175,88
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any classical study,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any classical study,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any classical study,AS level and FSMQ,Total pupil entries,3,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any classical study,AS level and FSMQ,a to b,1,50
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any classical study,AS level and FSMQ,a to b,1,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any classical study,AS level and FSMQ,a to b,2,67
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any classical study,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any classical study,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any classical study,AS level and FSMQ,a to e,3,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any design & technology,AS level and FSMQ,Total pupil entries,20,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any design & technology,AS level and FSMQ,Total pupil entries,13,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any design & technology,AS level and FSMQ,Total pupil entries,33,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Any design & technology,AS level and FSMQ,a to b,19,95
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Any design & technology,AS level and FSMQ,a to b,6,46
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Any design & technology,AS level and FSMQ,a to b,25,76
