,time_period,gender,subject,total_exam_entries,grade
9,202223,Boys,All Subjects,2381705,9 to 5
10,202223,Girls,All Subjects,2354678,9 to 5
11,202223,Total,All Subjects,4736383,9 to 5
126,202223,Boys,Ancient History,675,9 to 5
127,202223,Girls,Ancient History,544,9 to 5
128,202223,Total,Ancient History,1219,9 to 5
168,202223,Boys,Arabic,2123,9 to 5
169,202223,Girls,Arabic,2390,9 to 5
170,202223,Total,Arabic,4513,9 to 5
210,202223,Boys,Art and Design,63160,9 to 5
211,202223,Girls,Art and Design,120110,9 to 5
212,202223,Total,Art and Design,183270,9 to 5
252,202223,Boys,Biblical Hebrew,164,9 to 5
253,202223,Girls,Biblical Hebrew,422,9 to 5
254,202223,Total,Biblical Hebrew,586,9 to 5
294,202223,Boys,Biology,89374,9 to 5
295,202223,Girls,Biology,85978,9 to 5
296,202223,Total,Biology,175352,9 to 5
336,202223,Boys,Business,65627,9 to 5
337,202223,Girls,Business,47950,9 to 5
338,202223,Total,Business,113577,9 to 5
378,202223,Boys,Chemistry,86991,9 to 5
379,202223,Girls,Chemistry,83580,9 to 5
380,202223,Total,Chemistry,170571,9 to 5
420,202223,Boys,Chinese,2949,9 to 5
421,202223,Girls,Chinese,2869,9 to 5
422,202223,Total,Chinese,5818,9 to 5
462,202223,Boys,Classical Civilisation,1960,9 to 5
463,202223,Girls,Classical Civilisation,2345,9 to 5
464,202223,Total,Classical Civilisation,4305,9 to 5
504,202223,Boys,Classical Greek,520,9 to 5
505,202223,Girls,Classical Greek,395,9 to 5
506,202223,Total,Classical Greek,915,9 to 5
546,202223,Boys,Combined Science,221734,9 to 5
547,202223,Girls,Combined Science,217298,9 to 5
548,202223,Total,Combined Science,439032,9 to 5
612,202223,Boys,Computer Science,69293,9 to 5
613,202223,Girls,Computer Science,18639,9 to 5
614,202223,Total,Computer Science,87932,9 to 5
654,202223,Boys,Dance,346,9 to 5
655,202223,Girls,Dance,6544,9 to 5
656,202223,Total,Dance,6890,9 to 5
696,202223,Boys,Design & Technology,54132,9 to 5
697,202223,Girls,Design & Technology,24206,9 to 5
698,202223,Total,Design & Technology,78338,9 to 5
738,202223,Boys,Drama,16156,9 to 5
739,202223,Girls,Drama,33414,9 to 5
740,202223,Total,Drama,49570,9 to 5
780,202223,Boys,Economics,5003,9 to 5
781,202223,Girls,Economics,2167,9 to 5
782,202223,Total,Economics,7170,9 to 5
822,202223,Boys,Engineering,2072,9 to 5
823,202223,Girls,Engineering,425,9 to 5
824,202223,Total,Engineering,2497,9 to 5
864,202223,Boys,English Language,315400,9 to 5
865,202223,Girls,English Language,305455,9 to 5
866,202223,Total,English Language,620855,9 to 5
906,202223,Boys,English Literature,303807,9 to 5
907,202223,Girls,English Literature,298388,9 to 5
908,202223,Total,English Literature,602195,9 to 5
948,202223,Boys,Film Studies,2629,9 to 5
949,202223,Girls,Film Studies,2532,9 to 5
950,202223,Total,Film Studies,5161,9 to 5
990,202223,Boys,Food Preparation & Nutrition,21986,9 to 5
991,202223,Girls,Food Preparation & Nutrition,31059,9 to 5
992,202223,Total,Food Preparation & Nutrition,53045,9 to 5
1032,202223,Boys,French,54811,9 to 5
1033,202223,Girls,French,70635,9 to 5
1034,202223,Total,French,125446,9 to 5
1074,202223,Boys,Geography,152318,9 to 5
1075,202223,Girls,Geography,128951,9 to 5
1076,202223,Total,Geography,281269,9 to 5
1116,202223,Boys,German,16950,9 to 5
1117,202223,Girls,German,16620,9 to 5
1118,202223,Total,German,33570,9 to 5
1158,202223,Boys,History,145590,9 to 5
1159,202223,Girls,History,149854,9 to 5
1160,202223,Total,History,295444,9 to 5
1200,202223,Boys,Italian,1815,9 to 5
1201,202223,Girls,Italian,2138,9 to 5
1202,202223,Total,Italian,3953,9 to 5
1242,202223,Boys,Latin,4178,9 to 5
1243,202223,Girls,Latin,4149,9 to 5
1244,202223,Total,Latin,8327,9 to 5
1284,202223,Boys,Mathematics,312709,9 to 5
1285,202223,Girls,Mathematics,301942,9 to 5
1286,202223,Total,Mathematics,614651,9 to 5
1326,202223,Boys,Media/Film/TV,12943,9 to 5
1327,202223,Girls,Media/Film/TV,14045,9 to 5
1328,202223,Total,Media/Film/TV,26988,9 to 5
1368,202223,Boys,Music,14883,9 to 5
1369,202223,Girls,Music,14987,9 to 5
1370,202223,Total,Music,29870,9 to 5
1410,202223,Boys,Other Modern Languages,5040,9 to 5
1411,202223,Girls,Other Modern Languages,5817,9 to 5
1412,202223,Total,Other Modern Languages,10857,9 to 5
1452,202223,Boys,Other Sciences,1711,9 to 5
1453,202223,Girls,Other Sciences,502,9 to 5
1454,202223,Total,Other Sciences,2213,9 to 5
1494,202223,Boys,Physical Education,47612,9 to 5
1495,202223,Girls,Physical Education,26373,9 to 5
1496,202223,Total,Physical Education,73985,9 to 5
1536,202223,Boys,Physics,87039,9 to 5
1537,202223,Girls,Physics,83190,9 to 5
1538,202223,Total,Physics,170229,9 to 5
1578,202223,Boys,Polish,2518,9 to 5
1579,202223,Girls,Polish,2981,9 to 5
1580,202223,Total,Polish,5499,9 to 5
1620,202223,Boys,Religious Studies,103496,9 to 5
1621,202223,Girls,Religious Studies,120965,9 to 5
1622,202223,Total,Religious Studies,224461,9 to 5
1662,202223,Boys,Social Studies,23040,9 to 5
1663,202223,Girls,Social Studies,44389,9 to 5
1664,202223,Total,Social Studies,67429,9 to 5
1704,202223,Boys,Spanish,52602,9 to 5
1705,202223,Girls,Spanish,67455,9 to 5
1706,202223,Total,Spanish,120057,9 to 5
1746,202223,Boys,Statistics,14856,9 to 5
1747,202223,Girls,Statistics,10781,9 to 5
1748,202223,Total,Statistics,25637,9 to 5
1788,202223,Boys,Urdu,1493,9 to 5
1789,202223,Girls,Urdu,2194,9 to 5
1790,202223,Total,Urdu,3687,9 to 5
1830,202122,Boys,All Subjects,2294489,9 to 5
1831,202122,Girls,All Subjects,2289265,9 to 5
1832,202122,Total,All Subjects,4583754,9 to 5
1947,202122,Boys,Ancient History,617,9 to 5
