time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,version,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp,t_p8eng,avg_p8eng,p8eng_ci_low,p8eng_ci_upp,t_p8mat,avg_p8mat,p8mat_ci_low,p8mat_ci_upp,t_p8ebac,avg_p8ebac,p8ebac_ci_low,p8ebac_ci_upp,t_p8open,avg_p8open,p8open_ci_low,p8open_ci_upp,t_entry_1,pt_entry_1,t_anypass,pt_anypass,t_ebaceng_e,pt_ebaceng_e,t_ebacmat_e,pt_ebacmat_e,t_ebac2sci_e,pt_ebac2sci_e,t_ebachum_e,pt_ebachum_e,t_ebaclan_e,pt_ebaclan_e,t_ebaceng_95,pt_ebaceng_95,t_ebacmat_95,pt_ebacmat_95,t_ebac2sci_95,pt_ebac2sci_95,t_ebachum_95,pt_ebachum_95,t_ebaclan_95,pt_ebaclan_95,t_ebaceng_94,pt_ebaceng_94,t_ebacmat_94,pt_ebacmat_94,t_ebac2sci_94,pt_ebac2sci_94,t_ebachum_94,pt_ebachum_94,t_ebaclan_94,pt_ebaclan_94,t_ebptseng_ll,avg_ebptseng_ll,t_ebptsmat,avg_ebptsmat,t_ebptssci,avg_ebptssci,t_ebptshum,avg_ebptshum,t_ebptslan,avg_ebptslan,t_att8_eng,avg_att8_eng,t_att8_mat,avg_att8_mat,t_att8_ebac,avg_att8_ebac,t_att8_open,avg_att8_open,t_att8_open_g,avg_att8_open_g,t_att8_open_ng,avg_att8_open_ng,t_ebac_fill,avg_ebac_fill,t_open_fill,avg_open_fill
202223,Academic year,National,E92000001,England,,,,,,Provisional,Alternative provision,401,7558,45486.75,6,3360,44.5,147,1.9,347,4.6,24,0.3,4,0.1,7,0.1,2870.66,0.38,6162,-17866.028,-2.9,-2.93,-2.86,-19227.61,-3.12,-3.16,-3.08,-13701.455,-2.22,-2.26,-2.19,-17762.896,-2.88,-2.92,-2.84,-19839.224,-3.22,-3.26,-3.18,4209,55.7,3947,52.2,899,11.9,3792,50.2,1078,14.3,418,5.5,101,1.3,150,2,277,3.7,117,10.9,45,10.8,61,60.4,277,3.7,626,8.3,224,20.8,72,17.2,75,74.3,2690,0.36,7816,1.03,2663.5,0.35,869,0.11,518,0.07,11164,1.5,15632,2.1,9111.5,1.2,9579.25,1.3,8223.5,1.1,1355.75,0.2,3389,0.4,3205,0.4
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Provisional,Alternative provision,23,546,3992.25,7.3,297,54.4,12,2.2,36,6.6,0,0,0,0,0,0,252.34,0.46,515,-1569.783,-3.05,-3.17,-2.93,-1636.31,-3.18,-3.32,-3.04,-1222.62,-2.37,-2.5,-2.25,-1616.528,-3.14,-3.28,-3,-1710.212,-3.32,-3.46,-3.18,346,63.4,330,60.4,101,18.5,320,58.6,114,20.9,18,3.3,0,0,14,2.6,22,4,9,7.9,1,5.6,0,z,33,6,55,10.1,19,16.7,1,5.6,0,z,297,0.54,664,1.22,263,0.48,27,0.05,0,0,1076,2,1328,2.4,650,1.2,938.25,1.7,691,1.3,247.25,0.5,255,0.5,301,0.6
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Provisional,Alternative provision,60,1162,6498.5,5.6,578,49.7,18,1.5,39,3.4,0,0,0,0,0,0,416.74,0.36,1060,-3290.949,-3.1,-3.19,-3.02,-3533.135,-3.33,-3.43,-3.23,-2515.4,-2.37,-2.46,-2.28,-3231.545,-3.05,-3.15,-2.95,-3706.031,-3.5,-3.59,-3.4,701,60.3,649,55.9,149,12.8,660,56.8,165,14.2,47,4,5,0.4,19,1.6,34,2.9,7,4.2,2,4.3,4,80,39,3.4,84,7.2,21,12.7,3,6.4,4,80,409,0.35,1243,1.07,373.5,0.32,71,0.06,29,0.02,1670,1.4,2486,2.1,1281,1.1,1061.5,0.9,933,0.8,128.5,0.1,555,0.5,404,0.3
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Provisional,Alternative provision,39,613,3297,5.4,275,44.9,5,0.8,16,2.6,2,0.3,0,0,0,0,185.11,0.3,520,-1398.203,-2.69,-2.81,-2.57,-1480.82,-2.85,-2.99,-2.71,-1112.5,-2.14,-2.27,-2.01,-1399.427,-2.69,-2.83,-2.55,-1532.508,-2.95,-3.09,-2.81,371,60.5,346,56.4,85,13.9,304,49.6,52,8.5,53,8.6,6,1,8,1.3,13,2.1,3,5.8,3,5.7,4,66.7,20,3.3,36,5.9,11,21.2,5,9.4,4,66.7,222,0.36,522,0.85,122,0.2,90,0.15,32,0.05,913,1.5,1044,1.7,556,0.9,784,1.3,697,1.1,87,0.1,239,0.4,298,0.5
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Provisional,Alternative provision,27,489,1939.5,4,168,34.4,5,1,9,1.8,0,0,0,0,0,0,116.68,0.24,413,-1194.593,-2.89,-3.03,-2.76,-1293.575,-3.13,-3.29,-2.97,-935.55,-2.27,-2.41,-2.12,-1184.164,-2.87,-3.02,-2.71,-1311.863,-3.18,-3.33,-3.02,197,40.3,184,37.6,45,9.2,183,37.4,36,7.4,18,3.7,3,0.6,2,0.4,11,2.2,2,5.6,1,5.6,3,100,7,1.4,23,4.7,5,13.9,2,11.1,3,100,124,0.25,373,0.76,71,0.15,38,0.08,23,0.05,530,1.1,746,1.5,275,0.6,388.5,0.8,330,0.7,58.5,0.1,97,0.2,130,0.3
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Provisional,Alternative provision,44,837,4275.75,5.1,371,44.3,6,0.7,20,2.4,0,0,0,0,0,0,251.69,0.3,730,-2057.821,-2.82,-2.92,-2.72,-2207.97,-3.02,-3.14,-2.91,-1601.92,-2.19,-2.3,-2.09,-2015.521,-2.76,-2.88,-2.64,-2304.16,-3.16,-3.27,-3.04,474,56.6,441,52.7,84,10,422,50.4,122,14.6,51,6.1,1,0.1,13,1.6,10,1.2,7,5.7,2,3.9,1,100,26,3.1,32,3.8,13,10.7,3,5.9,1,100,240,0.29,737,0.88,226.5,0.27,71,0.08,9,0.01,1148,1.4,1474,1.8,803.5,1,850.25,1,725.5,0.9,124.75,0.1,372,0.4,338,0.4
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Provisional,Alternative provision,35,628,3114.75,5,241,38.4,14,2.2,27,4.3,2,0.3,1,0.2,1,0.2,182.37,0.29,518,-1455.813,-2.81,-2.93,-2.69,-1584.22,-3.06,-3.2,-2.92,-1138.6,-2.2,-2.33,-2.07,-1415.874,-2.73,-2.87,-2.59,-1621.767,-3.13,-3.27,-2.99,309,49.2,295,47,52,8.3,261,41.6,75,11.9,12,1.9,5,0.8,16,2.5,20,3.2,11,14.7,4,33.3,4,80,25,4,37,5.9,14,18.7,4,33.3,4,80,193,0.31,520,0.83,160.5,0.26,34,0.05,26,0.04,800,1.3,1040,1.7,645,1,629.75,1,527,0.8,102.75,0.2,254,0.4,184,0.3
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Provisional,Alternative provision,77,1720,13534.5,7.9,737,42.8,71,4.1,152,8.8,14,0.8,1,0.1,4,0.2,914.95,0.53,1092,-3185.966,-2.92,-3,-2.83,-3426.265,-3.14,-3.23,-3.04,-2358.27,-2.16,-2.25,-2.07,-3275.031,-3,-3.1,-2.9,-3488.699,-3.19,-3.29,-3.1,948,55.1,894,52,207,12,862,50.1,289,16.8,150,8.7,63,3.7,57,3.3,125,7.3,62,21.5,25,16.7,38,60.3,87,5.1,244,14.2,106,36.7,42,28,49,77.8,721,0.42,2226,1.29,914.5,0.53,382,0.22,331,0.19,2955,1.7,4452,2.6,3003,1.7,3124.5,1.8,2616,1.5,508.5,0.3,883,0.5,909,0.5
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Provisional,Alternative provision,52,775,3947,5.1,310,40,4,0.5,20,2.6,2,0.3,0,0,0,0,233.76,0.3,627,-1786.636,-2.85,-2.96,-2.74,-1990.74,-3.18,-3.3,-3.05,-1391.325,-2.22,-2.34,-2.1,-1741.935,-2.78,-2.91,-2.65,-1958.989,-3.12,-3.25,-3,401,51.7,376,48.5,51,6.6,352,45.4,101,13,25,3.2,12,1.5,8,1,16,2.1,5,5,3,12,4,33.3,13,1.7,50,6.5,17,16.8,6,24,7,58.3,142,0.18,678,0.87,239,0.31,57,0.07,47,0.06,848,1.1,1356,1.7,834,1.1,909,1.2,848,1.1,61,0.1,323,0.4,322,0.4
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Provisional,Alternative provision,44,788,4887.5,6.2,383,48.6,12,1.5,28,3.6,4,0.5,2,0.3,2,0.3,317.02,0.4,687,-1926.264,-2.8,-2.91,-2.7,-2074.575,-3.02,-3.14,-2.9,-1425.27,-2.07,-2.19,-1.96,-1882.871,-2.74,-2.86,-2.62,-2204.995,-3.21,-3.33,-3.09,462,58.6,432,54.8,125,15.9,428,54.3,124,15.7,44,5.6,6,0.8,13,1.6,26,3.3,11,8.9,4,9.1,3,50,27,3.4,65,8.2,18,14.5,6,13.6,3,50,342,0.43,853,1.08,293.5,0.37,99,0.13,21,0.03,1224,1.6,1706,2.2,1064,1.4,893.5,1.1,856,1.1,37.5,0,411,0.5,319,0.4
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Provisional,Alternative provision,34,709,5856.5,8.3,366,51.6,27,3.8,65,9.2,8,1.1,1,0.1,2,0.3,358.61,0.51,496,-1424.21,-2.87,-3,-2.75,-1503.525,-3.03,-3.18,-2.89,-1018.52,-2.05,-2.18,-1.92,-1543.346,-3.11,-3.26,-2.97,-1522.697,-3.07,-3.21,-2.93,433,61.1,406,57.3,99,14,403,56.8,129,18.2,46,6.5,26,3.7,23,3.2,51,7.2,17,13.2,7,15.2,14,53.8,34,4.8,107,15.1,28,21.7,10,21.7,18,69.2,315,0.44,980,1.38,313.5,0.44,109,0.15,120,0.17,1370,1.9,1960,2.8,955,1.3,1571.5,2.2,1190,1.7,381.5,0.5,321,0.5,457,0.6
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Provisional,Alternative provision,43,1011,7678,7.6,371,36.7,44,4.4,87,8.6,6,0.6,0,0,2,0.2,556.34,0.55,596,-1761.756,-2.96,-3.07,-2.84,-1922.74,-3.23,-3.36,-3.09,-1339.75,-2.25,-2.37,-2.13,-1731.685,-2.91,-3.04,-2.77,-1966.002,-3.3,-3.43,-3.17,515,50.9,488,48.3,108,10.7,459,45.4,160,15.8,104,10.3,37,3.7,34,3.4,74,7.3,45,28.1,18,17.3,24,64.9,53,5.2,137,13.6,78,48.8,32,30.8,31,83.8,406,0.4,1246,1.23,601,0.59,273,0.27,211,0.21,1585,1.6,2492,2.5,2048,2,1553,1.5,1426,1.4,127,0.1,562,0.6,452,0.4
