time_period,time_identifier,geographic_level,country_code,country_name,version,school_establishment,breakdown,years_open,predecessor_flag,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_94,pt_l2basics_94,t_l2basics_95,pt_l2basics_95,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_94,pt_ebacc_94,t_ebacc_95,pt_ebacc_95,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp,t_entry_1,pt_entry_1,t_anypass,pt_anypass
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,Total,0,1583,311737,15493826.42,49.7,306583,98.3,220341,70.7,158395,50.8,133605,42.9,88407,28.4,63770,20.5,1368887.97,4.39,294954,31732.14,0.11,0.1,0.11,308641,99,307717,98.7
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,1,0,24,4074,182324.5,44.8,3968,97.4,2540,62.3,1667,40.9,1579,38.8,855,21,558,13.7,15960.71,3.92,3748,-470.791,-0.13,-0.17,-0.08,4010,98.4,3994,98
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,2,0,32,5450,238629.75,43.8,5334,97.9,3316,60.8,2191,40.2,2011,36.9,1129,20.7,719,13.2,20786.82,3.81,5094,-1299.445,-0.26,-0.29,-0.22,5378,98.7,5352,98.2
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,3,0,23,3968,180465.75,45.5,3897,98.2,2449,61.7,1669,42.1,1321,33.3,773,19.5,513,12.9,15486.47,3.9,3764,-248.751,-0.07,-0.11,-0.02,3917,98.7,3904,98.4
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,4,0,59,11244,520506.25,46.3,11014,98,7315,65.1,4937,43.9,4016,35.7,2523,22.4,1743,15.5,45207.44,4.02,10700,-575.774,-0.05,-0.08,-0.03,11106,98.8,11061,98.4
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,5,0,65,11918,559101,46.9,11682,98,7919,66.4,5431,45.6,4678,39.3,2853,23.9,1904,16,48737.55,4.09,11385,461.465,0.04,0.01,0.07,11764,98.7,11728,98.4
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,6,0,74,13812,628756.88,45.5,13485,97.6,8736,63.2,5872,42.5,4941,35.8,2781,20.1,1858,13.5,54618.81,3.95,12974,-713.297,-0.05,-0.08,-0.03,13601,98.5,13542,98
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,7,0,56,10991,522324.5,47.5,10763,97.9,7332,66.7,5190,47.2,4413,40.2,2766,25.2,1934,17.6,45641.89,4.15,10335,988.78,0.1,0.07,0.12,10852,98.7,10801,98.3
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,8,0,44,8823,423627.51,48,8691,98.5,6051,68.6,4149,47,3347,37.9,2189,24.8,1475,16.7,37042.28,4.2,8489,559.967,0.07,0.04,0.1,8736,99,8713,98.8
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,9,0,63,12727,613526.64,48.2,12514,98.3,8723,68.5,6139,48.2,4784,37.6,2927,23,2025,15.9,53298.68,4.19,12011,617.678,0.05,0.03,0.08,12595,99,12558,98.7
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,10,0,140,26562,1274314.89,48,26076,98.2,18098,68.1,12656,47.6,11804,44.4,7138,26.9,4908,18.5,112453.93,4.23,25017,1293.559,0.05,0.03,0.07,26280,98.9,26178,98.6
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,11,0,354,69325,3398088.75,49,68124,98.3,48305,69.7,34194,49.3,28904,41.7,18723,27,13404,19.3,299320.63,4.32,65563,7084.372,0.11,0.1,0.12,68631,99,68418,98.7
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,12,0,624,127485,6653979,52.2,125738,98.6,95346,74.8,70970,55.7,59362,46.6,41802,32.8,31160,24.4,593581.87,4.66,120786,22333.166,0.18,0.18,0.19,126443,99.2,126149,99
202223,Academic year,National,E92000001,England,Provisional,Converter academy,Total,13,0,25,5358,298181,55.7,5297,98.9,4211,78.6,3330,62.2,2445,45.6,1948,36.4,1569,29.3,26750.89,4.99,5088,1701.211,0.33,0.3,0.37,5328,99.4,5319,99.3
202223,Academic year,National,E92000001,England,Provisional,Local authority maintained,Total,Total,0,650,121102,5703534.79,47.1,118489,97.8,80216,66.2,55462,45.8,45225,37.3,27934,23.1,19630,16.2,496977.36,4.1,113733,1060.06,0.01,0,0.02,119544,98.7,119127,98.4
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,Total,0,784,133099,5538213.75,41.6,129534,97.3,74750,56.2,46963,35.3,46695,35.1,22723,17.1,14238,10.7,476822.03,3.58,123457,-27603.07,-0.22,-0.23,-0.22,130813,98.3,129861,97.6
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,1,0,17,2710,104315.75,38.5,2597,95.8,1393,51.4,809,29.9,772,28.5,345,12.7,184,6.8,8805.08,3.25,2563,-1209.267,-0.47,-0.53,-0.42,2638,97.3,2604,96.1
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,2,0,30,5107,198852.25,38.9,4925,96.4,2648,51.9,1628,31.9,1383,27.1,659,12.9,411,8,16998.19,3.33,4640,-2328.966,-0.5,-0.54,-0.46,4970,97.3,4925,96.4
202223,Academic year,National,E92000001,England,Provisional,Sponsored academy,Total,3,0,19,2960,123889.5,41.9,2875,97.1,1673,56.5,1074,36.3,889,30,486,16.4,311,10.5,10543.53,3.56,2719,-677.481,-0.25,-0.3,-0.2,2896,97.8,2875,97.1
