time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,breakdown,gender,ethnicity_major,ethnicity_minor,free_school_meals,sen_status,primary_need,all_primary_need,sen_description,disadvantage,first_language,admission_type,religious_denomination,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Boys,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1981,28542,1494287.35,52.4,28215,98.9,16639,58.3,21325,74.7,14437,50.6,6507,22.8,8760,30.7,134638.77,4.72,24863,10728.979,0.43,0.41,0.45
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Boys,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1689,13745,612790.75,44.6,13559,98.6,5865,42.7,8665,63,6047,44,1684,12.3,2716,19.8,54035.84,3.93,11805,786.654,0.07,0.04,0.09
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Boys,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2267,14138,648940.38,45.9,13838,97.9,6457,45.7,9173,64.9,5697,40.3,2275,16.1,3254,23,57599.46,4.07,13041,-1604.75,-0.12,-0.15,-0.1
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Ethnic major,Boys,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1379,5168,233404.75,45.2,4936,95.5,2333,45.1,3232,62.5,2550,49.3,1005,19.4,1443,27.9,21434.43,4.15,3833,1668.104,0.44,0.39,0.48
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Free school meals,Boys,Total,Total,FSM,Total,Total,Total,Total,Total,Total,Total,Total,2443,52059,1787393.39,34.3,49531,95.1,12806,24.6,22160,42.6,13412,25.8,3056,5.9,5106,9.8,153417.34,2.95,48463,-31791.455,-0.66,-0.67,-0.64
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Free school meals,Boys,Total,Total,FSM all other,Total,Total,Total,Total,Total,Total,Total,Total,2449,186846,9043518.7,48.4,184516,98.8,93269,49.9,131799,70.5,74605,39.9,31240,16.7,45118,24.1,800745.88,4.29,175392,5178.864,0.03,0.02,0.04
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN status,Boys,Total,Total,Total,No SEN,Total,Total,Total,Total,Total,Total,Total,2449,197960,9567560.58,48.3,195510,98.8,98562,49.8,140319,70.9,81414,41.1,32732,16.5,47683,24.1,848256.24,4.28,184763,-6248.407,-0.03,-0.04,-0.03
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN status,Boys,Total,Total,Total,SEN State EHC,Total,Total,Total,Total,Total,Total,Total,2149,7520,192049.25,25.5,6526,86.8,1019,13.6,1883,25,671,8.9,188,2.5,304,4,15842.84,2.11,6987,-3923.733,-0.56,-0.59,-0.53
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN status,Boys,Total,Total,Total,SEN Supp,Total,Total,Total,Total,Total,Total,Total,2432,33389,1069981.76,32,31976,95.8,6483,19.4,11738,35.2,5927,17.8,1373,4.1,2234,6.7,89941.49,2.69,32083,-16418.493,-0.51,-0.53,-0.5
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN description,Boys,Total,Total,Total,Total,Total,Total,Any SEN,Total,Total,Total,Total,2443,40909,1262031.01,30.8,38502,94.1,7502,18.3,13621,33.3,6598,16.1,1561,3.8,2538,6.2,105784.33,2.59,39070,-20342.226,-0.52,-0.53,-0.51
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,SEN description,Boys,Total,Total,Total,Total,Total,Total,No identified SEN,Total,Total,Total,Total,2449,197960,9567560.58,48.3,195510,98.8,98562,49.8,140319,70.9,81414,41.1,32732,16.5,47683,24.1,848256.24,4.28,184763,-6248.407,-0.03,-0.04,-0.03
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Disadvantage,Boys,Total,Total,Total,Total,Total,Total,Total,Disadvantaged,Total,Total,Total,2446,60347,2085598.27,34.6,57385,95.1,15063,25,25969,43,15694,26,3651,6.1,6056,10,179100.32,2.97,56294,-36157.361,-0.64,-0.65,-0.63
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,Disadvantage,Boys,Total,Total,Total,Total,Total,Total,Total,Disadvantaged all other,Total,Total,Total,2448,178558,8745313.82,49,176662,98.9,91012,51,127990,71.7,72323,40.5,30645,17.2,44168,24.7,775062.9,4.34,167561,9544.77,0.06,0.05,0.06
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,First language,Boys,Total,Total,Total,Total,Total,Total,Total,Total,English,Total,Total,2450,195843,8814607.78,45,192036,98.1,85767,43.8,125894,64.3,67269,34.3,26257,13.4,38736,19.8,771027.43,3.94,189668,-39582.411,-0.21,-0.22,-0.2
202223,Academic year,National,E92000001,England,Provisional,Academies and free schools,First language,Boys,Total,Total,Total,Total,Total,Total,Total,Total,Other than English,Total,Total,2317,41771,1960897.31,46.9,40760,97.6,19772,47.3,27288,65.3,20275,48.5,7863,18.8,11254,26.9,178266.31,4.27,33107,13170.901,0.4,0.38,0.41
