time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_name,lad_code,version,level_methodology,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,,,,,Provisional,Pupil residency,State-funded schools (LA),4046,602650,27926896.83,46.3,580107,96.3,272855,45.3,392459,65.1,237488,39.4,2446630.96,4.06,102363,17,145943,24.2,567902,-14815.328,-0.03,-0.03,-0.02
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,Provisional,Pupil residency,State-funded schools (LA),206,27750,1233398.5,44.4,26528,95.6,11573,41.7,17254,62.2,10251,36.9,106227.61,3.83,4084,14.7,6185,22.3,26855,-7239.928,-0.27,-0.29,-0.25
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,Provisional,Pupil residency,State-funded schools (LA),617,82905,3687308.25,44.5,79614,96,34388,41.5,51459,62.1,30067,36.3,319069.3,3.85,11587,14,17181,20.7,78475,-15705.982,-0.2,-0.21,-0.19
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,Provisional,Pupil residency,State-funded schools (LA),451,60913,2723264.38,44.7,58577,96.2,25944,42.6,38156,62.6,22765,37.4,235996.9,3.87,9249,15.2,13570,22.3,58374,-3341.452,-0.06,-0.07,-0.05
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,Provisional,Pupil residency,State-funded schools (LA),551,53003,2387429.02,45,51133,96.5,22482,42.4,33582,63.4,19217,36.3,208711.03,3.94,8109,15.3,11757,22.2,50362,-2317.043,-0.05,-0.06,-0.03
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,Provisional,Pupil residency,State-funded schools (LA),544,67816,3039060.5,44.8,65352,96.4,28222,41.6,41895,61.8,24243,35.7,261747.34,3.86,9168,13.5,13648,20.1,64209,-5582.146,-0.09,-0.1,-0.08
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,Provisional,Pupil residency,State-funded schools (LA),698,67856,3151109.42,46.4,65461,96.5,30741,45.3,44760,66,26531,39.1,277156.31,4.08,11746,17.3,16626,24.5,64383,417.778,0.01,0,0.02
202223,Academic year,Regional,E92000001,England,E12000007,London,,,Provisional,Pupil residency,State-funded schools (LA),800,90366,4583174.64,50.7,87244,96.5,48981,54.2,64367,71.2,50226,55.6,415187.12,4.59,22838,25.3,31226,34.6,82079,22387.843,0.27,0.26,0.28
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,Provisional,Pupil residency,State-funded schools (LA),937,96185,4544830.08,47.3,92459,96.1,45637,47.4,64531,67.1,36599,38.1,399756.46,4.16,17680,18.4,24442,25.4,90069,-2146.223,-0.02,-0.03,-0.01
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,Provisional,Pupil residency,State-funded schools (LA),435,55856,2577322.04,46.1,53739,96.2,24887,44.6,36455,65.3,17589,31.5,222778.89,3.99,7902,14.1,11308,20.2,53096,-1288.175,-0.02,-0.04,-0.01
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,Provisional,Pupil residency,State-funded schools (LA),528,29023,1442994.8,49.7,27929,96.2,15150,52.2,20173,69.5,17030,58.7,130796.27,4.51,7072,24.4,9845,33.9,26421,5656.379,0.21,0.2,0.23
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,Provisional,Pupil residency,State-funded schools (LA),780,61343,3140179.84,51.2,59315,96.7,33831,55.2,44194,72,33196,54.1,284390.85,4.64,15766,25.7,21381,34.9,55658,16731.464,0.3,0.29,0.31
202223,Academic year,Local authority district,E92000001,England,E12000001,North East,Hartlepool,E06000001,Provisional,Pupil residency,State-funded schools (LA),25,1114,45883.75,41.2,1062,95.3,420,37.7,661,59.3,383,34.4,3919.02,3.52,115,10.3,187,16.8,1091,-506.509,-0.46,-0.55,-0.38
202223,Academic year,Local authority district,E92000001,England,E12000001,North East,Middlesbrough,E06000002,Provisional,Pupil residency,State-funded schools (LA),32,1740,71375.75,41,1656,95.2,611,35.1,1000,57.5,599,34.4,6095.79,3.5,207,11.9,333,19.1,1632,-684.499,-0.42,-0.49,-0.35
202223,Academic year,Local authority district,E92000001,England,E12000001,North East,Redcar and Cleveland,E06000003,Provisional,Pupil residency,State-funded schools (LA),26,1455,65343.25,44.9,1400,96.2,665,45.7,943,64.8,586,40.3,5744.39,3.95,254,17.5,388,26.7,1420,-484.132,-0.34,-0.41,-0.27
202223,Academic year,Local authority district,E92000001,England,E12000001,North East,Stockton-on-Tees,E06000004,Provisional,Pupil residency,State-funded schools (LA),42,2319,105943.25,45.7,2207,95.2,1084,46.7,1558,67.2,1008,43.5,9230.81,3.98,397,17.1,639,27.6,2259,-431.516,-0.19,-0.25,-0.13
202223,Academic year,Local authority district,E92000001,England,E12000001,North East,Darlington,E06000005,Provisional,Pupil residency,State-funded schools (LA),34,1162,53044.25,45.6,1124,96.7,524,45.1,747,64.3,418,36,4525.71,3.89,168,14.5,260,22.4,1136,-271.642,-0.24,-0.32,-0.16
202223,Academic year,Local authority district,E92000001,England,E12000002,North West,Halton,E06000006,Provisional,Pupil residency,State-funded schools (LA),43,1524,65247.5,42.8,1461,95.9,582,38.2,897,58.9,310,20.3,5368.05,3.52,140,9.2,196,12.9,1482,-443.276,-0.3,-0.37,-0.23
202223,Academic year,Local authority district,E92000001,England,E12000002,North West,Warrington,E06000007,Provisional,Pupil residency,State-funded schools (LA),56,2477,119896.75,48.4,2400,96.9,1180,47.6,1726,69.7,1010,40.8,10478.47,4.23,428,17.3,610,24.6,2350,-146.768,-0.06,-0.12,-0.01
202223,Academic year,Local authority district,E92000001,England,E12000002,North West,Blackburn with Darwen,E06000008,Provisional,Pupil residency,State-funded schools (LA),48,2139,96072.53,44.9,2057,96.2,941,44,1358,63.5,1039,48.6,8489.54,3.97,375,17.5,561,26.2,2021,-165.436,-0.08,-0.14,-0.02
202223,Academic year,Local authority district,E92000001,England,E12000002,North West,Blackpool,E06000009,Provisional,Pupil residency,State-funded schools (LA),26,1490,53837,36.1,1382,92.8,421,28.3,710,47.7,281,18.9,4433.92,2.98,90,6,129,8.7,1432,-1160.936,-0.81,-0.88,-0.74
202223,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,"Kingston upon Hull, City of",E06000010,Provisional,Pupil residency,State-funded schools (LA),35,3083,130097.5,42.2,2949,95.7,1143,37.1,1740,56.4,1398,45.3,11295.75,3.66,428,13.9,726,23.5,2938,-1378.127,-0.47,-0.52,-0.42
202223,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,East Riding of Yorkshire,E06000011,Provisional,Pupil residency,State-funded schools (LA),67,3401,157647.5,46.4,3310,97.3,1537,45.2,2281,67.1,1248,36.7,13765.26,4.05,541,15.9,784,23.1,3322,-46.996,-0.01,-0.06,0.03
202223,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,North East Lincolnshire,E06000012,Provisional,Pupil residency,State-funded schools (LA),25,1798,74879.75,41.6,1732,96.3,619,34.4,1042,58,662,36.8,6593.5,3.67,231,12.8,367,20.4,1750,-758.707,-0.43,-0.5,-0.37
202223,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,North Lincolnshire,E06000013,Provisional,Pupil residency,State-funded schools (LA),37,1904,83302.38,43.8,1843,96.8,758,39.8,1216,63.9,712,37.4,7108.41,3.73,241,12.7,384,20.2,1852,-267.859,-0.14,-0.21,-0.08
202223,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,York,E06000014,Provisional,Pupil residency,State-funded schools (LA),17,1772,86166.75,48.6,1728,97.5,866,48.9,1227,69.2,738,41.6,7643.72,4.31,353,19.9,472,26.6,1684,151.844,0.09,0.02,0.16
202223,Academic year,Local authority district,E92000001,England,E12000004,East Midlands,Derby,E06000015,Provisional,Pupil residency,State-funded schools (LA),55,3201,134974.25,42.2,3057,95.5,1216,38,1858,58,1152,36,11870.93,3.71,462,14.4,682,21.3,3020,-550.751,-0.18,-0.23,-0.13
202223,Academic year,Local authority district,E92000001,England,E12000004,East Midlands,Leicester,E06000016,Provisional,Pupil residency,State-funded schools (LA),57,4690,210164,44.8,4473,95.4,1954,41.7,2799,59.7,1830,39,18441.29,3.93,769,16.4,1093,23.3,4177,378.093,0.09,0.05,0.13
202223,Academic year,Local authority district,E92000001,England,E12000004,East Midlands,Rutland,E06000017,Provisional,Pupil residency,State-funded schools (LA),18,322,15989.25,49.7,313,97.2,171,53.1,233,72.4,147,45.7,1443.2,4.48,71,22,98,30.4,304,94.921,0.31,0.15,0.47
202223,Academic year,Local authority district,E92000001,England,E12000004,East Midlands,Nottingham,E06000018,Provisional,Pupil residency,State-funded schools (LA),59,3438,146677,42.7,3291,95.7,1215,35.3,1977,57.5,982,28.6,12601.1,3.67,372,10.8,567,16.5,3161,-756.408,-0.24,-0.29,-0.19
202223,Academic year,Local authority district,E92000001,England,E12000005,West Midlands,"Herefordshire, County of",E06000019,Provisional,Pupil residency,State-funded schools (LA),38,1740,77356.75,44.5,1685,96.8,726,41.7,1117,64.2,483,27.8,6677.42,3.84,231,13.3,330,19,1675,-455.199,-0.27,-0.34,-0.2
202223,Academic year,Local authority district,E92000001,England,E12000005,West Midlands,Telford and Wrekin,E06000020,Provisional,Pupil residency,State-funded schools (LA),41,2280,98075.5,43,2218,97.3,834,36.6,1300,57,712,31.2,8483.85,3.72,295,12.9,442,19.4,2172,-838.61,-0.39,-0.45,-0.33
202223,Academic year,Local authority district,E92000001,England,E12000005,West Midlands,Stoke-on-Trent,E06000021,Provisional,Pupil residency,State-funded schools (LA),52,3109,124593.75,40.1,2961,95.2,1023,32.9,1661,53.4,964,31,10407.71,3.35,258,8.3,433,13.9,2969,-1065.849,-0.36,-0.41,-0.31
202223,Academic year,Local authority district,E92000001,England,E12000009,South West,Bath and North East Somerset,E06000022,Provisional,Pupil residency,State-funded schools (LA),36,1794,90092.5,50.2,1727,96.3,925,51.6,1299,72.4,767,42.8,7967.63,4.44,366,20.4,515,28.7,1709,516.62,0.3,0.24,0.37
