time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,ru11ind_school_location,version,level_methodology,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,,,Total,Provisional,School location,State-funded schools (LA),4046,603642,27966700.08,46.3,581015,96.3,273211,45.3,393018,65.1,237770,39.4,2450084.28,4.06,102477,17,146109,24.2,568548,-15092.343,-0.03,-0.03,-0.02
202223,Academic year,National,E92000001,England,,,6 Rural - Hamlet and isolated dwellings,Provisional,School location,State-funded schools (LA),75,8589,382748.25,44.6,8111,94.4,3718,43.3,5566,64.8,2709,31.5,33146.86,3.86,1136,13.2,1707,19.9,8151,-467.058,-0.06,-0.09,-0.03
202223,Academic year,National,E92000001,England,,,5 Rural - Village,Provisional,School location,State-funded schools (LA),83,9544,447449.5,46.9,9262,97,4364,45.7,6383,66.9,3564,37.3,39218.45,4.11,1506,15.8,2185,22.9,9119,110.053,0.01,-0.02,0.04
202223,Academic year,National,E92000001,England,,,4 Rural - Town and fringe,Provisional,School location,State-funded schools (LA),374,54483,2531229.16,46.5,53137,97.5,24231,44.5,36408,66.8,18342,33.7,219994.21,4.04,8035,14.7,11627,21.3,52437,-1454.828,-0.03,-0.04,-0.02
202223,Academic year,National,E92000001,England,,,3 Urban - City and town,Provisional,School location,State-funded schools (LA),1925,287430,13150979.56,45.8,276110,96.1,127032,44.2,184949,64.3,105031,36.5,1147710.67,3.99,46233,16.1,65889,22.9,272017,-20084.975,-0.07,-0.08,-0.07
202223,Academic year,National,E92000001,England,,,2 Urban - Minor conurbation,Provisional,School location,State-funded schools (LA),143,21976,971948.25,44.2,21128,96.1,9109,41.4,13636,62,7631,34.7,83954.44,3.82,3081,14,4610,21,20935,-2082.627,-0.1,-0.12,-0.08
202223,Academic year,National,E92000001,England,,,1 Urban - Major conurbation,Provisional,School location,State-funded schools (LA),1446,221620,10482345.36,47.3,213267,96.2,104757,47.3,146076,65.9,100493,45.3,926059.65,4.18,42486,19.2,60091,27.1,205889,8887.092,0.04,0.04,0.05
202223,Academic year,Regional,E92000001,England,E12000001,North East,Total,Provisional,School location,State-funded schools (LA),193,27722,1231660.75,44.4,26499,95.6,11561,41.7,17230,62.2,10235,36.9,106070.39,3.83,4077,14.7,6175,22.3,26822,-7251.828,-0.27,-0.29,-0.25
202223,Academic year,Regional,E92000001,England,E12000001,North East,6 Rural - Hamlet and isolated dwellings,Provisional,School location,State-funded schools (LA),1,234,9870,42.2,231,98.7,89,38,137,58.5,35,15,831.2,3.55,13,5.6,20,8.5,224,-56.212,-0.25,-0.44,-0.07
202223,Academic year,Regional,E92000001,England,E12000001,North East,5 Rural - Village,Provisional,School location,State-funded schools (LA),4,226,9320.75,41.2,196,86.7,92,40.7,134,59.3,50,22.1,779.69,3.45,35,15.5,43,19,213,-89.013,-0.42,-0.61,-0.23
202223,Academic year,Regional,E92000001,England,E12000001,North East,4 Rural - Town and fringe,Provisional,School location,State-funded schools (LA),21,2341,109319.25,46.7,2253,96.2,1055,45.1,1539,65.7,892,38.1,9430.42,4.03,389,16.6,582,24.9,2302,-210.39,-0.09,-0.15,-0.03
202223,Academic year,Regional,E92000001,England,E12000001,North East,3 Urban - City and town,Provisional,School location,State-funded schools (LA),88,12953,571083,44.1,12405,95.8,5389,41.6,8031,62,4468,34.5,48797.71,3.77,1806,13.9,2767,21.4,12534,-3453.949,-0.28,-0.3,-0.25
202223,Academic year,Regional,E92000001,England,E12000001,North East,1 Urban - Major conurbation,Provisional,School location,State-funded schools (LA),79,11968,532067.75,44.5,11414,95.4,4936,41.2,7389,61.7,4790,40,46231.37,3.86,1834,15.3,2763,23.1,11549,-3442.264,-0.3,-0.32,-0.27
202223,Academic year,Regional,E92000001,England,E12000002,North West,Total,Provisional,School location,State-funded schools (LA),568,83315,3706756.25,44.5,80020,96,34570,41.5,51740,62.1,30221,36.3,320748.67,3.85,11638,14,17246,20.7,78787,-15734.237,-0.2,-0.21,-0.19
202223,Academic year,Regional,E92000001,England,E12000002,North West,6 Rural - Hamlet and isolated dwellings,Provisional,School location,State-funded schools (LA),9,953,41102.75,43.1,925,97.1,407,42.7,602,63.2,286,30,3574.58,3.75,118,12.4,170,17.8,926,-309.812,-0.33,-0.43,-0.24
202223,Academic year,Regional,E92000001,England,E12000002,North West,5 Rural - Village,Provisional,School location,State-funded schools (LA),6,670,31964.5,47.7,666,99.4,286,42.7,460,68.7,199,29.7,2762.57,4.12,94,14,142,21.2,649,-11.665,-0.02,-0.13,0.09
202223,Academic year,Regional,E92000001,England,E12000002,North West,4 Rural - Town and fringe,Provisional,School location,State-funded schools (LA),38,5191,242600,46.7,5098,98.2,2285,44,3472,66.9,1752,33.8,21111.39,4.07,752,14.5,1074,20.7,4997,-341.757,-0.07,-0.11,-0.03
202223,Academic year,Regional,E92000001,England,E12000002,North West,3 Urban - City and town,Provisional,School location,State-funded schools (LA),216,29118,1297262.78,44.6,27924,95.9,12267,42.1,18364,63.1,9998,34.3,112026.48,3.85,3822,13.1,5698,19.6,27806,-5217.271,-0.19,-0.2,-0.17
202223,Academic year,Regional,E92000001,England,E12000002,North West,1 Urban - Major conurbation,Provisional,School location,State-funded schools (LA),299,47383,2093826.22,44.2,45407,95.8,19325,40.8,28842,60.9,17986,38,181273.65,3.83,6852,14.5,10162,21.4,44409,-9853.732,-0.22,-0.24,-0.21
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,Provisional,School location,State-funded schools (LA),383,61024,2721824.75,44.6,58659,96.1,25861,42.4,38107,62.4,22681,37.2,235738.56,3.86,9167,15,13488,22.1,58467,-3576.017,-0.06,-0.07,-0.05
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,6 Rural - Hamlet and isolated dwellings,Provisional,School location,State-funded schools (LA),3,503,23530.25,46.8,487,96.8,239,47.5,347,69,269,53.5,2159.25,4.29,122,24.3,192,38.2,495,126.329,0.26,0.13,0.38
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,5 Rural - Village,Provisional,School location,State-funded schools (LA),6,740,38537.25,52.1,707,95.5,437,59.1,560,75.7,234,31.6,3367.53,4.55,134,18.1,185,25,717,232.817,0.32,0.22,0.43
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,4 Rural - Town and fringe,Provisional,School location,State-funded schools (LA),43,6118,277021.25,45.3,5957,97.4,2575,42.1,3958,64.7,1987,32.5,23900.18,3.91,818,13.4,1229,20.1,5960,-405.7,-0.07,-0.1,-0.03
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,3 Urban - City and town,Provisional,School location,State-funded schools (LA),126,19158,855736,44.7,18464,96.4,7989,41.7,11953,62.4,7480,39,74626.32,3.9,3018,15.8,4470,23.3,18416,-2279.704,-0.12,-0.14,-0.1
