time_period,time_identifier,version,geographic_level,country_code,country_name,establishment_type,subject,qualification_type,grade,number_achieving
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,1,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,2,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,3,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,4,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,5,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,6,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,7,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,8,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,9,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,Covid impacted,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,Total exam entries,15042
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,U,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,All Subjects,GCSE,X,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,1,890
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,2,1216
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,3,1087
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,4,402
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,5,215
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,6,109
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,7,42
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,8,18
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,9,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,Covid impacted,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,Total exam entries,5111
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,U,476
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any English,GCSE,X,649
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,1,356
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,11,118
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,2,415
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,21,132
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,22,138
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,3,226
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,32,128
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,33,91
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,4,90
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,43,85
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,44,63
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,5,54
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,54,38
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,55,45
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,6,17
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,65,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,66,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,7,16
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,76,10
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,77,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,8,7
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,87,10
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,88,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,9,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,98,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,99,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,Covid impacted,5
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,Total exam entries,2646
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,U,259
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any Science,GCSE,X,303
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,1,29
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,2,35
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,3,35
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,4,16
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,5,5
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,6,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,7,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,8,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,9,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,Total exam entries,142
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,U,10
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any design & technology,GCSE,X,6
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,1,1029
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,2,943
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,3,659
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,4,349
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,5,195
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,6,41
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,7,23
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,8,16
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,9,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,Covid impacted,12
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,Total exam entries,4211
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,U,524
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any mathematics,GCSE,X,418
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,1,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,2,8
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,3,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,4,14
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,5,27
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,6,5
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,7,7
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,8,8
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,9,18
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,Covid impacted,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,Total exam entries,108
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,U,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Any modern language,GCSE,X,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,1,183
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,2,244
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,3,249
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,4,161
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,5,123
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,6,55
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,7,22
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,8,8
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,9,10
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,Covid impacted,8
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,Total exam entries,1142
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,U,27
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Art and Design,GCSE,X,52
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,1,320
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,2,369
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,3,191
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,4,60
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,5,31
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,6,7
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,7,5
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,8,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,9,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,Covid impacted,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,Total exam entries,1176
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,U,68
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Biology,GCSE,X,117
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,1,31
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,2,24
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,3,28
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,4,17
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,5,5
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,6,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,7,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,8,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,9,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,Total exam entries,130
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,U,8
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Business,GCSE,X,10
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,1,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,2,18
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,3,11
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,4,14
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,5,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,6,5
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,7,5
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,8,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,9,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,Total exam entries,96
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,U,10
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Chemistry,GCSE,X,13
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,1,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,11,118
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,2,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,21,132
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,22,138
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,3,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,32,128
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,33,91
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,4,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,43,85
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,44,63
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,5,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,54,38
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,55,45
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,6,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,65,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,66,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,7,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,76,10
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,77,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,8,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,87,10
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,88,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,9,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,98,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,99,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,Covid impacted,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,Total exam entries,1194
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,U,152
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,X,146
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,1,5
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,2,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,3,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,4,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,5,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,6,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,7,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,8,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,9,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,Total exam entries,37
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,U,12
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,X,2
