,subject,grade,number_achieving
0,All Subjects,Total exam entries,4736478
1,Ancient History,Total exam entries,1219
2,Ancient History,9,148
3,Any classical study,Total exam entries,14133
4,Any classical study,9,4054
5,Any design & technology,Total exam entries,131386
6,Any design & technology,9,5346
7,Any modern language,Total exam entries,313404
8,Any modern language,9,31713
9,Any Science,Total exam entries,1045343
10,Any Science,9,72145
11,Art and Design,Total exam entries,183270
12,Art and Design,9,10342
13,Biblical Hebrew,Total exam entries,586
14,Biblical Hebrew,9,104
15,Biology,Total exam entries,175353
16,Biology,9,22217
17,Business,Total exam entries,113577
18,Business,9,4269
19,Chemistry,Total exam entries,170573
20,Chemistry,9,22533
21,Classical Civilisation,Total exam entries,4305
22,Classical Civilisation,9,436
23,Classical Greek,Total exam entries,915
24,Classical Greek,9,509
25,Combined Science,Total exam entries,439040
26,Computer Science,Total exam entries,87934
27,Computer Science,9,4604
28,Dance,Total exam entries,6890
29,Dance,9,363
30,Design & Technology,Total exam entries,78339
31,Design & Technology,9,3359
32,Drama,Total exam entries,49570
33,Drama,9,3002
34,Economics,Total exam entries,7170
35,Economics,9,559
36,Engineering,Total exam entries,2497
37,Engineering,9,62
38,English & mathematics,Total exam entries,609034
39,English Language,Total exam entries,620861
40,English Language,9,18555
41,English Literature,Total exam entries,602205
42,English Literature,9,21896
43,"English, mathematics & science",Total exam entries,597719
44,Film Studies,Total exam entries,5161
45,Film Studies,9,197
46,Food Preparation & Nutrition,Total exam entries,53047
47,Food Preparation & Nutrition,9,1987
48,French,Total exam entries,125447
49,French,9,9744
50,Geography,Total exam entries,281273
51,Geography,9,13746
52,German,Total exam entries,33570
53,German,9,2957
54,History,Total exam entries,295448
55,History,9,15924
56,Latin,Total exam entries,8327
57,Latin,9,3005
58,Mathematics,Total exam entries,614663
59,Mathematics,9,25114
60,Mathematics & science,Total exam entries,600968
61,Media/Film/TV,Total exam entries,26988
62,Media/Film/TV,9,967
63,Music,Total exam entries,29870
64,Music,9,2788
65,Other Modern Languages,Total exam entries,34328
66,Other Modern Languages,9,11526
67,Other Sciences,Total exam entries,2213
68,Other Sciences,9,381
69,Physical Education,Total exam entries,74017
70,Physical Education,9,3296
71,Physics,Total exam entries,170230
72,Physics,9,22410
73,Religious Studies,Total exam entries,224466
74,Religious Studies,9,17726
75,Social Studies,Total exam entries,67430
76,Social Studies,9,2383
77,Spanish,Total exam entries,120059
78,Spanish,9,7486
79,Statistics,Total exam entries,25637
80,Statistics,9,1219
