,la_name,gender,total_num_schools,total_num_pupils,avg_attainment8_score,avg_progress8_score,perc_achieving_grade_5to9_eng_maths
0,Hartlepool,Boys,6,568,38.5,-0.64,34.3
1,Hartlepool,Girls,6,523,44.2,-0.27,41.1
2,Hartlepool,Total,6,1091,41.2,-0.46,37.6
3,Middlesbrough,Boys,10,791,37.2,-0.64,31.2
4,Middlesbrough,Girls,9,809,42.8,-0.29,36.6
5,Middlesbrough,Total,10,1600,40,-0.46,33.9
6,Redcar and Cleveland,Boys,13,823,43.2,-0.45,44
7,Redcar and Cleveland,Girls,13,763,47.3,-0.19,46.1
8,Redcar and Cleveland,Total,13,1586,45.2,-0.33,45
9,Stockton-on-Tees,Boys,15,1131,44.3,-0.3,46.4
10,Stockton-on-Tees,Girls,15,1138,47.3,-0.06,48.1
11,Stockton-on-Tees,Total,15,2269,45.8,-0.18,47.2
12,Darlington,Boys,9,561,43.6,-0.35,42.6
13,Darlington,Girls,9,587,48.7,-0.06,49.7
14,Darlington,Total,9,1148,46.2,-0.2,46.3
15,Halton,Boys,11,765,39.2,-0.5,31.5
16,Halton,Girls,11,726,46.2,-0.1,44.4
17,Halton,Total,11,1491,42.6,-0.3,37.8
18,Warrington,Boys,16,1312,45.6,-0.25,44.8
19,Warrington,Girls,16,1230,50.4,0.11,48.5
20,Warrington,Total,16,2542,47.9,-0.08,46.6
21,Blackburn with Darwen,Boys,14,1058,42.2,-0.22,41.6
22,Blackburn with Darwen,Girls,14,1094,47.5,0.08,47
23,Blackburn with Darwen,Total,15,2152,44.9,-0.07,44.3
24,Blackpool,Boys,11,702,33.3,-0.98,26.5
25,Blackpool,Girls,10,629,36.7,-0.71,26.2
26,Blackpool,Total,11,1331,34.9,-0.86,26.4
27,"Kingston upon Hull, City of",Boys,17,1550,41.9,-0.46,38.8
28,"Kingston upon Hull, City of",Girls,18,1447,43.9,-0.35,38.6
29,"Kingston upon Hull, City of",Total,19,2997,42.9,-0.41,38.7
30,East Riding of Yorkshire,Boys,20,1739,43.9,-0.16,42.6
31,East Riding of Yorkshire,Girls,20,1689,47.1,-0.01,43.8
32,East Riding of Yorkshire,Total,21,3428,45.5,-0.08,43.2
33,North East Lincolnshire,Boys,13,969,38.3,-0.6,29.2
34,North East Lincolnshire,Girls,13,809,42,-0.34,34.2
35,North East Lincolnshire,Total,13,1778,40,-0.48,31.5
36,North Lincolnshire,Boys,15,1029,40.5,-0.32,35.6
37,North Lincolnshire,Girls,15,950,45,-0.03,39.2
38,North Lincolnshire,Total,15,1979,42.7,-0.18,37.3
39,York,Boys,10,929,46.6,-0.07,48.5
40,York,Girls,10,958,51.6,0.29,51.4
41,York,Total,10,1887,49.2,0.12,50
42,Derby,Boys,21,1746,40.2,-0.29,36.8
43,Derby,Girls,21,1570,44.7,-0.03,40.5
44,Derby,Total,21,3316,42.3,-0.17,38.5
45,Leicester,Boys,23,2214,41.8,-0.04,38.1
46,Leicester,Girls,23,2113,48.5,0.34,45.2
