,Local authority,Employment history,Number of people
3,Hartlepool,Not in employment: Never worked,12083
7,Middlesbrough,Not in employment: Never worked,21446
11,Redcar and Cleveland,Not in employment: Never worked,15841
15,Stockton-on-Tees,Not in employment: Never worked,20945
19,Darlington,Not in employment: Never worked,10345
23,Halton,Not in employment: Never worked,12298
27,Warrington,Not in employment: Never worked,15176
31,Blackburn with Darwen,Not in employment: Never worked,21900
35,Blackpool,Not in employment: Never worked,15328
39,Kingston upon Hull,Not in employment: Never worked,30354
43,East Riding of Yorkshire,Not in employment: Never worked,24923
47,North East Lincolnshire,Not in employment: Never worked,15494
51,North Lincolnshire,Not in employment: Never worked,15245
55,York,Not in employment: Never worked,16121
59,Derby,Not in employment: Never worked,26679
63,Leicester,Not in employment: Never worked,54644
67,Rutland,Not in employment: Never worked,2762
71,Nottingham,Not in employment: Never worked,43571
75,Herefordshire,Not in employment: Never worked,11749
79,Telford and Wrekin,Not in employment: Never worked,15648
83,Stoke-on-Trent,Not in employment: Never worked,27115
87,Bath and North East Somerset,Not in employment: Never worked,12904
91,Bristol,Not in employment: Never worked,39291
95,North Somerset,Not in employment: Never worked,12275
99,South Gloucestershire,Not in employment: Never worked,16487
103,Plymouth,Not in employment: Never worked,22570
107,Torbay,Not in employment: Never worked,10850
111,Swindon,Not in employment: Never worked,16222
115,Peterborough,Not in employment: Never worked,19423
119,Luton,Not in employment: Never worked,29340
123,Southend-on-Sea,Not in employment: Never worked,14298
127,Thurrock,Not in employment: Never worked,13880
131,Medway,Not in employment: Never worked,23375
135,Bracknell Forest,Not in employment: Never worked,7077
139,West Berkshire,Not in employment: Never worked,8682
143,Reading,Not in employment: Never worked,14860
147,Slough,Not in employment: Never worked,17795
151,Windsor and Maidenhead,Not in employment: Never worked,10327
155,Wokingham,Not in employment: Never worked,9853
159,Milton Keynes,Not in employment: Never worked,19853
163,Brighton and Hove,Not in employment: Never worked,22835
167,Portsmouth,Not in employment: Never worked,18579
171,Southampton,Not in employment: Never worked,24069
175,Isle of Wight,Not in employment: Never worked,9935
179,County Durham,Not in employment: Never worked,59011
183,Cheshire East,Not in employment: Never worked,25466
187,Cheshire West and Chester,Not in employment: Never worked,25846
191,Shropshire,Not in employment: Never worked,21026
195,Cornwall,Not in employment: Never worked,35951
199,Isles of Scilly,Not in employment: Never worked,53
203,Wiltshire,Not in employment: Never worked,28487
207,Bedford,Not in employment: Never worked,13807
211,Central Bedfordshire,Not in employment: Never worked,16696
215,Northumberland,Not in employment: Never worked,28891
219,"Bournemouth, Christchurch and Poole",Not in employment: Never worked,27681
223,Dorset,Not in employment: Never worked,21682
227,Buckinghamshire,Not in employment: Never worked,35314
231,North Northamptonshire,Not in employment: Never worked,23986
235,West Northamptonshire,Not in employment: Never worked,27431
239,Cambridge,Not in employment: Never worked,15169
243,East Cambridgeshire,Not in employment: Never worked,4865
247,Fenland,Not in employment: Never worked,8610
251,Huntingdonshire,Not in employment: Never worked,10222
255,South Cambridgeshire,Not in employment: Never worked,8366
259,Allerdale,Not in employment: Never worked,7882
263,Barrow-in-Furness,Not in employment: Never worked,5930
267,Carlisle,Not in employment: Never worked,8433
271,Copeland,Not in employment: Never worked,6104
275,Eden,Not in employment: Never worked,3177
279,South Lakeland,Not in employment: Never worked,5592
283,Amber Valley,Not in employment: Never worked,8602
287,Bolsover,Not in employment: Never worked,6745
291,Chesterfield,Not in employment: Never worked,8377
295,Derbyshire Dales,Not in employment: Never worked,3821
299,Erewash,Not in employment: Never worked,8086
303,High Peak,Not in employment: Never worked,5532
307,North East Derbyshire,Not in employment: Never worked,7371
311,South Derbyshire,Not in employment: Never worked,6655
315,East Devon,Not in employment: Never worked,7653
319,Exeter,Not in employment: Never worked,11499
